Date,Location ISO Code,Location,New Cases,New Deaths
01/03/20,ID-JK,DKI Jakarta,3,0
01/03/20,ID-JB,Jawa Barat,3,0
02/03/20,ID-JK,DKI Jakarta,2,0
02/03/20,IDN,Indonesia,2,0
02/03/20,ID-JB,Jawa Barat,0,0
03/03/20,ID-JK,DKI Jakarta,2,0
03/03/20,IDN,Indonesia,0,0
03/03/20,ID-JB,Jawa Barat,1,1
04/03/20,ID-JK,DKI Jakarta,2,0
04/03/20,IDN,Indonesia,0,0
04/03/20,ID-JB,Jawa Barat,1,0
05/03/20,ID-JK,DKI Jakarta,0,1
05/03/20,IDN,Indonesia,0,0
05/03/20,ID-JB,Jawa Barat,0,0
06/03/20,ID-BT,Banten,1,0
06/03/20,ID-JK,DKI Jakarta,0,0
06/03/20,IDN,Indonesia,2,0
06/03/20,ID-JB,Jawa Barat,1,0
07/03/20,ID-BT,Banten,0,0
07/03/20,ID-JK,DKI Jakarta,0,2
07/03/20,IDN,Indonesia,0,0
07/03/20,ID-JB,Jawa Barat,0,0
08/03/20,ID-BT,Banten,1,0
08/03/20,ID-JK,DKI Jakarta,0,0
08/03/20,IDN,Indonesia,2,0
08/03/20,ID-JB,Jawa Barat,0,0
09/03/20,ID-BT,Banten,0,0
09/03/20,ID-JK,DKI Jakarta,0,1
09/03/20,IDN,Indonesia,13,0
09/03/20,ID-JB,Jawa Barat,0,0
10/03/20,ID-BT,Banten,0,0
10/03/20,ID-JK,DKI Jakarta,0,0
10/03/20,IDN,Indonesia,8,0
10/03/20,ID-JB,Jawa Barat,0,0
10/03/20,ID-SG,Sulawesi Tenggara,1,0
11/03/20,ID-BT,Banten,0,0
11/03/20,ID-JK,DKI Jakarta,0,0
11/03/20,IDN,Indonesia,7,1
11/03/20,ID-JB,Jawa Barat,1,1
11/03/20,ID-SG,Sulawesi Tenggara,0,0
12/03/20,ID-BT,Banten,0,1
12/03/20,ID-JK,DKI Jakarta,0,1
12/03/20,IDN,Indonesia,0,0
12/03/20,ID-JB,Jawa Barat,1,0
12/03/20,ID-SG,Sulawesi Tenggara,0,0
13/03/20,ID-BT,Banten,1,0
13/03/20,ID-JK,DKI Jakarta,0,1
13/03/20,IDN,Indonesia,35,3
13/03/20,ID-JB,Jawa Barat,4,0
13/03/20,ID-SG,Sulawesi Tenggara,0,0
14/03/20,ID-BT,Banten,1,0
14/03/20,ID-JK,DKI Jakarta,1,1
14/03/20,IDN,Indonesia,27,1
14/03/20,ID-JB,Jawa Barat,0,0
14/03/20,ID-KI,Kalimantan Timur,3,0
14/03/20,ID-SG,Sulawesi Tenggara,0,0
15/03/20,ID-BT,Banten,1,0
15/03/20,ID-JK,DKI Jakarta,6,3
15/03/20,IDN,Indonesia,21,0
15/03/20,ID-JB,Jawa Barat,0,0
15/03/20,ID-KI,Kalimantan Timur,2,0
15/03/20,ID-SG,Sulawesi Tenggara,0,0
16/03/20,ID-BT,Banten,1,0
16/03/20,ID-JK,DKI Jakarta,1,3
16/03/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
16/03/20,IDN,Indonesia,17,0
16/03/20,ID-JB,Jawa Barat,0,0
16/03/20,ID-KI,Kalimantan Timur,1,0
16/03/20,ID-SG,Sulawesi Tenggara,2,0
17/03/20,ID-BT,Banten,0,1
17/03/20,ID-JK,DKI Jakarta,1,1
17/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
17/03/20,IDN,Indonesia,38,0
17/03/20,ID-JB,Jawa Barat,11,0
17/03/20,ID-KI,Kalimantan Timur,1,0
17/03/20,ID-SG,Sulawesi Tenggara,0,0
17/03/20,ID-SU,Sumatera Utara,1,1
18/03/20,ID-BT,Banten,0,0
18/03/20,ID-JK,DKI Jakarta,0,1
18/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
18/03/20,IDN,Indonesia,55,14
18/03/20,ID-JB,Jawa Barat,5,1
18/03/20,ID-JT,Jawa Tengah,1,1
18/03/20,ID-JI,Jawa Timur,2,0
18/03/20,ID-KI,Kalimantan Timur,0,0
18/03/20,ID-SG,Sulawesi Tenggara,0,0
18/03/20,ID-SU,Sumatera Utara,0,0
19/03/20,ID-BT,Banten,0,1
19/03/20,ID-JK,DKI Jakarta,1,0
19/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
19/03/20,IDN,Indonesia,82,6
19/03/20,ID-JB,Jawa Barat,7,1
19/03/20,ID-JT,Jawa Tengah,1,0
19/03/20,ID-JI,Jawa Timur,0,0
19/03/20,ID-KI,Kalimantan Timur,0,0
19/03/20,ID-SN,Sulawesi Selatan,1,0
19/03/20,ID-SG,Sulawesi Tenggara,0,0
19/03/20,ID-SU,Sumatera Utara,0,0
20/03/20,ID-BT,Banten,0,1
20/03/20,ID-JK,DKI Jakarta,1,3
20/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
20/03/20,IDN,Indonesia,60,7
20/03/20,ID-JB,Jawa Barat,16,2
20/03/20,ID-JT,Jawa Tengah,2,0
20/03/20,ID-JI,Jawa Timur,0,0
20/03/20,ID-KI,Kalimantan Timur,0,0
20/03/20,ID-SN,Sulawesi Selatan,0,0
20/03/20,ID-SG,Sulawesi Tenggara,0,0
20/03/20,ID-SU,Sumatera Utara,0,0
21/03/20,ID-BT,Banten,0,0
21/03/20,ID-JK,DKI Jakarta,0,3
21/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
21/03/20,IDN,Indonesia,81,6
21/03/20,ID-JB,Jawa Barat,5,0
21/03/20,ID-JT,Jawa Tengah,1,1
21/03/20,ID-JI,Jawa Timur,0,0
21/03/20,ID-KI,Kalimantan Timur,0,0
21/03/20,ID-SN,Sulawesi Selatan,0,0
21/03/20,ID-SG,Sulawesi Tenggara,0,0
21/03/20,ID-SU,Sumatera Utara,0,0
22/03/20,ID-BT,Banten,0,0
22/03/20,ID-JK,DKI Jakarta,0,0
22/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
22/03/20,IDN,Indonesia,64,10
22/03/20,ID-JB,Jawa Barat,3,3
22/03/20,ID-JT,Jawa Tengah,0,0
22/03/20,ID-JI,Jawa Timur,0,0
22/03/20,ID-KI,Kalimantan Timur,0,0
22/03/20,ID-MA,Maluku,1,0
22/03/20,ID-PA,Papua,2,0
22/03/20,ID-SN,Sulawesi Selatan,0,0
22/03/20,ID-SG,Sulawesi Tenggara,0,0
22/03/20,ID-SU,Sumatera Utara,0,0
23/03/20,ID-BT,Banten,0,0
23/03/20,ID-JK,DKI Jakarta,0,0
23/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
23/03/20,IDN,Indonesia,65,1
23/03/20,ID-JB,Jawa Barat,8,2
23/03/20,ID-JT,Jawa Tengah,3,0
23/03/20,ID-JI,Jawa Timur,0,0
23/03/20,ID-KI,Kalimantan Timur,1,0
23/03/20,ID-MA,Maluku,0,0
23/03/20,ID-MU,Maluku Utara,1,0
23/03/20,ID-PA,Papua,0,0
23/03/20,ID-SN,Sulawesi Selatan,0,1
23/03/20,ID-SG,Sulawesi Tenggara,0,0
23/03/20,ID-SU,Sumatera Utara,0,0
