Date,Location ISO Code,Location,New Cases,New Deaths
01/03/20,ID-JK,DKI Jakarta,0,3
01/03/20,ID-JB,Jawa Barat,0,3
02/03/20,ID-JK,DKI Jakarta,0,2
02/03/20,IDN,Indonesia,0,2
02/03/20,ID-JB,Jawa Barat,0,0
03/03/20,ID-JK,DKI Jakarta,0,2
03/03/20,IDN,Indonesia,0,0
03/03/20,ID-JB,Jawa Barat,1,1
04/03/20,ID-JK,DKI Jakarta,0,2
04/03/20,IDN,Indonesia,0,0
04/03/20,ID-JB,Jawa Barat,0,1
05/03/20,ID-JK,DKI Jakarta,1,0
05/03/20,IDN,Indonesia,0,0
05/03/20,ID-JB,Jawa Barat,0,0
06/03/20,ID-BT,Banten,0,1
06/03/20,ID-JK,DKI Jakarta,0,0
06/03/20,IDN,Indonesia,0,2
06/03/20,ID-JB,Jawa Barat,0,1
07/03/20,ID-BT,Banten,0,0
07/03/20,ID-JK,DKI Jakarta,2,0
07/03/20,IDN,Indonesia,0,0
07/03/20,ID-JB,Jawa Barat,0,0
08/03/20,ID-BT,Banten,0,1
08/03/20,ID-JK,DKI Jakarta,0,0
08/03/20,IDN,Indonesia,0,2
08/03/20,ID-JB,Jawa Barat,0,0
09/03/20,ID-BT,Banten,0,0
09/03/20,ID-JK,DKI Jakarta,1,0
09/03/20,IDN,Indonesia,0,13
09/03/20,ID-JB,Jawa Barat,0,0
10/03/20,ID-BT,Banten,0,0
10/03/20,ID-JK,DKI Jakarta,0,0
10/03/20,IDN,Indonesia,0,8
10/03/20,ID-JB,Jawa Barat,0,0
10/03/20,ID-SG,Sulawesi Tenggara,0,1
11/03/20,ID-BT,Banten,0,0
11/03/20,ID-JK,DKI Jakarta,0,0
11/03/20,IDN,Indonesia,1,7
11/03/20,ID-JB,Jawa Barat,1,1
11/03/20,ID-SG,Sulawesi Tenggara,0,0
12/03/20,ID-BT,Banten,1,0
12/03/20,ID-JK,DKI Jakarta,1,0
12/03/20,IDN,Indonesia,0,0
12/03/20,ID-JB,Jawa Barat,0,1
12/03/20,ID-SG,Sulawesi Tenggara,0,0
13/03/20,ID-BT,Banten,0,1
13/03/20,ID-JK,DKI Jakarta,1,0
13/03/20,IDN,Indonesia,3,35
13/03/20,ID-JB,Jawa Barat,0,4
13/03/20,ID-SG,Sulawesi Tenggara,0,0
14/03/20,ID-BT,Banten,0,1
14/03/20,ID-JK,DKI Jakarta,1,1
14/03/20,IDN,Indonesia,1,27
14/03/20,ID-JB,Jawa Barat,0,0
14/03/20,ID-KI,Kalimantan Timur,0,3
14/03/20,ID-SG,Sulawesi Tenggara,0,0
15/03/20,ID-BT,Banten,0,1
15/03/20,ID-JK,DKI Jakarta,3,6
15/03/20,IDN,Indonesia,0,21
15/03/20,ID-JB,Jawa Barat,0,0
15/03/20,ID-KI,Kalimantan Timur,0,2
15/03/20,ID-SG,Sulawesi Tenggara,0,0
16/03/20,ID-BT,Banten,0,1
16/03/20,ID-JK,DKI Jakarta,3,1
16/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,1
16/03/20,IDN,Indonesia,0,17
16/03/20,ID-JB,Jawa Barat,0,0
16/03/20,ID-KI,Kalimantan Timur,0,1
16/03/20,ID-SG,Sulawesi Tenggara,0,2
17/03/20,ID-BT,Banten,1,0
17/03/20,ID-JK,DKI Jakarta,1,1
17/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
17/03/20,IDN,Indonesia,0,38
17/03/20,ID-JB,Jawa Barat,0,11
17/03/20,ID-KI,Kalimantan Timur,0,1
17/03/20,ID-SG,Sulawesi Tenggara,0,0
17/03/20,ID-SU,Sumatera Utara,1,1
18/03/20,ID-BT,Banten,0,0
18/03/20,ID-JK,DKI Jakarta,1,0
18/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
18/03/20,IDN,Indonesia,14,55
18/03/20,ID-JB,Jawa Barat,1,5
18/03/20,ID-JT,Jawa Tengah,1,1
18/03/20,ID-JI,Jawa Timur,0,2
18/03/20,ID-KI,Kalimantan Timur,0,0
18/03/20,ID-SG,Sulawesi Tenggara,0,0
18/03/20,ID-SU,Sumatera Utara,0,0
19/03/20,ID-BT,Banten,1,0
19/03/20,ID-JK,DKI Jakarta,0,1
19/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
19/03/20,IDN,Indonesia,6,82
19/03/20,ID-JB,Jawa Barat,1,7
19/03/20,ID-JT,Jawa Tengah,0,1
19/03/20,ID-JI,Jawa Timur,0,0
19/03/20,ID-KI,Kalimantan Timur,0,0
19/03/20,ID-SN,Sulawesi Selatan,0,1
19/03/20,ID-SG,Sulawesi Tenggara,0,0
19/03/20,ID-SU,Sumatera Utara,0,0
20/03/20,ID-BT,Banten,1,0
20/03/20,ID-JK,DKI Jakarta,3,1
20/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
20/03/20,IDN,Indonesia,7,60
20/03/20,ID-JB,Jawa Barat,2,16
20/03/20,ID-JT,Jawa Tengah,0,2
20/03/20,ID-JI,Jawa Timur,0,0
20/03/20,ID-KI,Kalimantan Timur,0,0
20/03/20,ID-SN,Sulawesi Selatan,0,0
20/03/20,ID-SG,Sulawesi Tenggara,0,0
20/03/20,ID-SU,Sumatera Utara,0,0
21/03/20,ID-BT,Banten,0,0
21/03/20,ID-JK,DKI Jakarta,3,0
21/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
21/03/20,IDN,Indonesia,6,81
21/03/20,ID-JB,Jawa Barat,0,5
21/03/20,ID-JT,Jawa Tengah,1,1
21/03/20,ID-JI,Jawa Timur,0,0
21/03/20,ID-KI,Kalimantan Timur,0,0
21/03/20,ID-SN,Sulawesi Selatan,0,0
21/03/20,ID-SG,Sulawesi Tenggara,0,0
21/03/20,ID-SU,Sumatera Utara,0,0
22/03/20,ID-BT,Banten,0,0
22/03/20,ID-JK,DKI Jakarta,0,0
22/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
22/03/20,IDN,Indonesia,10,64
22/03/20,ID-JB,Jawa Barat,3,3
22/03/20,ID-JT,Jawa Tengah,0,0
22/03/20,ID-JI,Jawa Timur,0,0
22/03/20,ID-KI,Kalimantan Timur,0,0
22/03/20,ID-MA,Maluku,0,1
22/03/20,ID-PA,Papua,0,2
22/03/20,ID-SN,Sulawesi Selatan,0,0
22/03/20,ID-SG,Sulawesi Tenggara,0,0
22/03/20,ID-SU,Sumatera Utara,0,0
23/03/20,ID-BT,Banten,0,0
23/03/20,ID-JK,DKI Jakarta,0,0
23/03/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
23/03/20,IDN,Indonesia,1,65
23/03/20,ID-JB,Jawa Barat,2,8
23/03/20,ID-JT,Jawa Tengah,0,3
23/03/20,ID-JI,Jawa Timur,0,0
23/03/20,ID-KI,Kalimantan Timur,0,1
23/03/20,ID-MA,Maluku,0,0
23/03/20,ID-MU,Maluku Utara,0,1
23/03/20,ID-PA,Papua,0,0
23/03/20,ID-SN,Sulawesi Selatan,1,0
23/03/20,ID-SG,Sulawesi Tenggara,0,0
23/03/20,ID-SU,Sumatera Utara,0,0
24/03/20,ID-BT,Banten,0,0
24/03/20,ID-JK,DKI Jakarta,20,0
24/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
24/03/20,IDN,Indonesia,6,106
24/03/20,ID-JB,Jawa Barat,0,1
24/03/20,ID-JT,Jawa Tengah,1,1
24/03/20,ID-JI,Jawa Timur,1,0
24/03/20,ID-KI,Kalimantan Timur,0,0
24/03/20,ID-MA,Maluku,0,0
24/03/20,ID-MU,Maluku Utara,0,0
24/03/20,ID-PA,Papua,0,0
24/03/20,ID-SN,Sulawesi Selatan,0,2
24/03/20,ID-SG,Sulawesi Tenggara,0,0
24/03/20,ID-SU,Sumatera Utara,0,0
25/03/20,ID-BT,Banten,0,0
25/03/20,ID-JK,DKI Jakarta,1,0
25/03/20,ID-YO,Daerah Istimewa Yogyakarta,1,0
25/03/20,IDN,Indonesia,3,105
25/03/20,ID-JB,Jawa Barat,0,4
25/03/20,ID-JT,Jawa Tengah,1,18
25/03/20,ID-JI,Jawa Timur,2,0
25/03/20,ID-KI,Kalimantan Timur,0,0
25/03/20,ID-MA,Maluku,0,0
25/03/20,ID-MU,Maluku Utara,0,0
25/03/20,ID-PA,Papua,0,0
25/03/20,ID-SN,Sulawesi Selatan,0,9
25/03/20,ID-SG,Sulawesi Tenggara,0,0
25/03/20,ID-SU,Sumatera Utara,0,0
26/03/20,ID-AC,Aceh,0,1
26/03/20,ID-BT,Banten,0,0
26/03/20,ID-JK,DKI Jakarta,2,57
26/03/20,ID-YO,Daerah Istimewa Yogyakarta,0,0
26/03/20,IDN,Indonesia,20,103
26/03/20,ID-JB,Jawa Barat,0,7
26/03/20,ID-JT,Jawa Tengah,0,2
26/03/20,ID-JI,Jawa Timur,0,8
26/03/20,ID-KT,Kalimantan Tengah,0,2
26/03/20,ID-KI,Kalimantan Timur,0,0
26/03/20,ID-LA,Lampung,0,2
